,h_1,W_1,L1_final,H1_final,L2_final,M1_final,cure_at_1500,M2_final,H2_final
31,1.128787878787879,0.06824999999999999,36858.679224746935,2219.647402152384,36858.679224746935,235519.33443346288,1.0,235519.33443346288,2219.647402152384
40,1.128787878787879,0.06999999999999999,36691.082623190385,2155.423015408287,36691.082623190385,234244.38925407128,1.0,234244.38925407128,2155.423015408287
41,1.128787878787879,0.07175,36518.99478654517,2090.73607109813,36518.99478654517,232929.25216076462,1.0,232929.25216076462,2090.73607109813
43,1.128787878787879,0.0735,36341.88997907089,2025.5007190445301,36341.88997907089,231569.5206236404,1.0,231569.5206236404,2025.5007190445301
42,1.128787878787879,0.07525,36159.151503928595,1959.6175690710104,36159.151503928595,230160.0227660509,1.0,230160.0227660509,1959.6175690710104
45,1.128787878787879,0.07699999999999999,35970.05379859834,1892.9726130779736,35970.05379859834,228694.66668487035,1.0,228694.66668487035,1892.9726130779736
44,1.128787878787879,0.07874999999999999,35773.741363362955,1825.4365608647613,35773.741363362955,227166.26339001753,1.0,227166.26339001753,1825.4365608647613
47,1.128787878787879,0.08049999999999999,35569.20422470465,1756.8648835969282,35569.20422470465,225566.32104232762,1.0,225566.32104232762,1756.8648835969282
46,1.128787878787879,0.08224999999999999,35355.24975708108,1687.0989703298246,35355.24975708108,223884.80928704806,1.0,223884.80928704806,1687.0989703298246
56,1.128787878787879,0.08399999999999999,35130.47090827105,1615.9689362793035,35130.47090827105,222109.89448091184,1.0,222109.89448091184,1615.9689362793035
57,1.128787878787879,0.08574999999999999,34893.21123598609,1543.2987678545633,34893.21123598609,220227.64984959192,1.0,220227.64984959192,1543.2987678545633
59,1.128787878787879,0.0875,34641.527712842944,1468.914627482742,34641.527712842944,218221.74949240344,1.0,218221.74949240344,1468.914627482742
58,1.128787878787879,0.08925,34373.15303676467,1392.657229765208,34373.15303676467,216073.16205471675,1.0,216073.16205471675,1392.657229765208
60,1.128787878787879,0.091,34085.460219503264,1314.3991706689985,34085.460219503264,213759.86903642086,1.0,213759.86903642086,1314.3991706689985
61,1.128787878787879,0.09275,33775.433495615456,1234.0678419007045,33775.433495615456,211256.64391196152,1.0,211256.64391196152,1234.0678419007045
62,1.128787878787879,0.0945,33439.6509876586,1151.673964636712,33439.6509876586,208534.9405494041,1.0,208534.9405494041,1151.673964636712
63,1.128787878787879,0.09625,33074.28583003753,1067.3447012108709,33074.28583003753,205562.9506593596,1.0,205562.9506593596,1067.3447012108709
48,1.128787878787879,0.098,32675.133156925916,981.3586823008503,32675.133156925916,202305.89639118,1.0,202305.89639118,981.3586823008503
49,1.128787878787879,0.09975,32237.66986961172,894.1782167728868,32237.66986961172,198726.6202756613,1.0,198726.6202756613,894.1782167728868
50,1.128787878787879,0.1015,31757.151679285707,806.4718162029349,31757.151679285707,194786.51414908926,1.0,194786.51414908926,806.4718162029349
51,1.128787878787879,0.10325,31228.746959534303,719.1187186758227,31228.746959534303,190446.78628560266,1.0,190446.78628560266,719.1187186758227
52,1.128787878787879,0.10499999999999997,30647.699328938463,633.1873752852338,30647.699328938463,185670.00103271398,1.0,185670.00103271398,633.1873752852338
53,1.128787878787879,0.10674999999999997,30009.501438706444,549.8828339086413,30009.501438706444,180421.74541735766,1.0,180421.74541735766,549.8828339086413
55,1.128787878787879,0.1085,29310.05313612137,470.4638885100351,29310.05313612137,174672.20042472662,1.0,174672.20042472662,470.4638885100351
54,1.128787878787879,0.11025,28545.770835412182,396.1387169014318,28545.770835412182,168397.3466843435,1.0,168397.3466843435,396.1387169014318
64,1.128787878787879,0.112,27713.614246607867,327.9550504058031,27713.614246607867,161579.54019489806,1.0,161579.54019489806,327.9550504058031
65,1.128787878787879,0.11375,26811.002776964884,266.7046532883288,26811.002776964884,154207.26615796506,1.0,154207.26615796506,266.7046532883288
67,1.128787878787879,0.1155,25835.60560141034,212.85993767293164,25835.60560141034,146274.01016567886,1.0,146274.01016567886,212.85993767293164
68,1.128787878787879,0.11725,24785.002950812843,166.55311499359968,24785.002950812843,137776.35082878754,1.0,137776.35082878754,166.55311499359968
66,1.128787878787879,0.11900000000000001,23656.227302635187,127.59804696332729,23656.227302635187,128711.55163375045,1.0,128711.55163375045,127.59804696332729
69,1.128787878787879,0.12074999999999997,22445.199651861305,95.54567128650322,22445.199651861305,119075.11636641188,1.0,119075.11636641188,95.54567128650322
70,1.128787878787879,0.12249999999999997,21146.08094635792,69.75848276470852,21146.08094635792,108859.04065213811,1.0,108859.04065213811,69.75848276470852
71,1.128787878787879,0.12425,19750.5751283294,49.488938074041606,19750.5751283294,98052.02694166415,1.0,98052.02694166415,49.488938074041606
82,1.128787878787879,0.126,18247.281629327907,33.94973409053292,18247.281629327907,86644.12469364106,1.0,86644.12469364106,33.94973409053292
84,1.128787878787879,0.12774999999999995,16621.382452352645,22.368628201946624,16621.382452352645,74640.86264374718,1.0,74640.86264374718,22.368628201946624
88,1.128787878787879,0.12949999999999998,14855.44830362142,14.02491084600815,14855.44830362142,62097.0813105962,1.0,62097.0813105962,14.02491084600815
91,1.128787878787879,0.13124999999999998,12933.323176543792,8.267716527610462,12933.323176543792,49188.356759216935,1.0,49188.356759216935,8.267716527610462
90,1.128787878787879,0.13299999999999998,10851.22863237505,4.5181888610630265,10851.22863237505,36338.23866786421,1.0,36338.23866786421,4.5181888610630265
95,1.128787878787879,0.13474999999999998,8641.835208224169,2.260150574104396,8641.835208224169,24366.222881325182,1.0,24366.222881325182,2.260150574104396
92,1.128787878787879,0.13649999999999998,6409.139793951487,1.031331324841536,6409.139793951487,14437.257718016932,1.0,14437.257718016932,1.031331324841536
93,1.128787878787879,0.13824999999999998,5959.080926842674,0.9997042429575672,5959.080926842674,12768.366892980343,1.0,12768.366892980343,0.9997042429575672
72,1.128787878787879,0.14,5940.953491664823,0.9999479122794545,5940.953491664823,12729.52775570017,1.0,12729.52775570017,0.9999479122794545
73,1.128787878787879,0.14175,5922.906307096668,0.9996918778162766,5922.906307096668,12690.321736787866,1.0,12690.321736787866,0.9996918778162766
74,1.128787878787879,0.1435,5905.669054705792,0.9996821572667164,5905.669054705792,12653.8027703628,1.0,12653.8027703628,0.9996821572667164
75,1.128787878787879,0.14525,5888.821672102426,0.9997680762252308,5888.821672102426,12618.441591824636,1.0,12618.441591824636,0.9997680762252308
76,1.128787878787879,0.147,5872.029696529099,0.9998268532118127,5872.029696529099,12583.02213507458,1.0,12583.02213507458,0.9998268532118127
77,1.128787878787879,0.14875,5854.5980234895005,0.9996012788269072,5854.5980234895005,12545.020391764216,1.0,12545.020391764216,0.9996012788269072
78,1.128787878787879,0.1505,5838.4644540794725,0.9998102873991512,5838.4644540794725,12511.492117359105,1.0,12511.492117359105,0.9998102873991512
79,1.128787878787879,0.15225,5822.013866678391,0.9998557904891424,5822.013866678391,12476.564180575164,1.0,12476.564180575164,0.9998557904891424
80,1.128787878787879,0.15399999999999994,5805.228672848957,0.9997311767755422,5805.228672848957,12440.181025008533,1.0,12440.181025008533,0.9997311767755422
81,1.128787878787879,0.15574999999999994,5789.131990635121,0.9998177359050702,5789.131990635121,12406.060196451152,1.0,12406.060196451152,0.9998177359050702
83,1.128787878787879,0.15749999999999995,5772.681295372844,0.9997277716618412,5772.681295372844,12370.423879785418,1.0,12370.423879785418,0.9997277716618412
85,1.128787878787879,0.15924999999999995,5756.263266918876,0.9996056824643696,5756.263266918876,12334.679802713006,1.0,12334.679802713006,0.9996056824643696
86,1.128787878787879,0.16099999999999998,5740.1331726584485,0.9995474144194609,5740.1331726584485,12299.755322046276,1.0,12299.755322046276,0.9995474144194609
87,1.128787878787879,0.16274999999999998,5724.164679401165,0.9995064325197992,5724.164679401165,12265.195980912242,1.0,12265.195980912242,0.9995064325197992
89,1.128787878787879,0.16449999999999998,5709.055219049085,0.9997449637950726,5709.055219049085,12233.521751763752,1.0,12233.521751763752,0.9997449637950726
